business_name,website,email,email_tier,phone,lead_score,validation_signals,source_query,email_role,Email_Source,email_confidence_type,owner_name,name_source
TCS Heating & Cooling,http://www.tcsheatingcooling.com/,hello@tcsheatingcooling.com,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
"Curfman Heating, Cooling & Plumbing",,,,+1 614-800-3599,75,,Ohio Google Batch 2,,,,,
SuperTec Heating & Cooling,http://www.supertechvac.com/,office@supertechvac.com,3,+1 614-595-9251,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
"Air Duct Cleaning and Dryer Vent Cleaning Of Columbus, Ohio",,,,,75,,Ohio Google Batch 2,,,,,
Harden Hvac and Small Appliances,,,,,75,,Ohio Google Batch 2,,,,,
Mercury Heating & Cooling,http://www.mercury-hvac.com/,sales@mercury-hvac.com,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Stringtown Heating & Cooling,https://www.grovecityhvac.com/,contact@grovecityhvac.com,3,+1 614-429-1920,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Tucker Heating and Air Conditioning Middletown ohio,http://www.tuckerheating.com/,admin@tuckerheating.com,3,+1 513-422-7171,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Thompson plumbing and hvac services llc,http://www.thompsonplumbingandhvacservices.com/,contact@thompsonplumbingandhvacservices.com,3,+1 937-594-1820,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Fadika heating and cooling llc,,,,+1 614-313-3476,75,,Ohio Google Batch 2,,,,,
All in One Housing Specialists,http://www.all-in-onehousingspecialist.com/,contact@all-in-onehousingspecialist.com,3,+1 740-361-8296,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Enervise,http://www.enervise.com/,sales@enervise.com,3,+1 614-968-7207,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Evolution heating&cooling,,,,+1 614-600-1102,75,,Ohio Google Batch 2,,,,,
Assurance Air LLC,http://www.assurance-air.com/,admin@assurance-air.com,3,+1 614-901-9110,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Albion Heating & Air Conditioning,,,,+1 614-954-3258,75,,Ohio Google Batch 2,,,,,
Black's Heating and Air Conditioning,http://brian.my-free.website/,info@brian.my-free.website,3,+1 419-631-8561,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
RACR Heating & Cooling,,,,+1 419-884-0481,75,,Ohio Google Batch 2,,,,,
"PTI Electric, Plumbing, & HVAC",https://pti-electric.com/,admin@pti-electric.com,3,+1 614-987-8784,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Salmons Heating & Cooling LLC,,,,,75,,Ohio Google Batch 2,,,,,
J & J Plumbing & HVAC,,,,+1 740-225-4532,75,,Ohio Google Batch 2,,,,,
Wenger Temperature Control,http://www.wengertempcontrol.com/,hello@wengertempcontrol.com,3,+1 614-443-2212,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Hubbs Heating & Air,http://hubbsheating.com/,admin@hubbsheating.com,3,+1 614-999-3082,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Hitech PTAC Services Ohio,http://www.hitechptacservicesohio.com/,sales@hitechptacservicesohio.com,3,+1 234-805-1105,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Northeast Ohio Heating & AC,http://www.northeastohioheating.com/,support@northeastohioheating.com,3,+1 330-454-4484,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
KD Heating and Cooling,https://kdhvacair.com/,office@kdhvacair.com,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
James Heating Cooling & Electrical,,,,+1 740-747-0226,75,,Ohio Google Batch 2,,,,,
All Service Repair,,,,+1 614-546-6742,75,,Ohio Google Batch 2,,,,,
"Brittman Heating and Ventilation, LLC",http://www.brittmanheating.com/?cid=glbc&utm_source=google&utm_medium=organic&utm,contact@brittmanheating.com,3,+1 614-858-8400,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
A.S.A.P. Repair,http://asaprepair.net/,hello@asaprepair.net,3,+1 937-539-6475,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
"Dakota Mechanical - Heating, Ventilation and Air Conditioning",http://dakotamechanicalhvac.com/,sales@dakotamechanicalhvac.com,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Huge Heating & Cooling,https://www.hugeheating.com/contact/,admin@hugeheating.com,3,+1 440-234-4157,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
"Scarlet Oak Heating, Cooling, and Plumbing",https://www.scarletoakoh.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15184972136025981434,office@scarletoakoh.com,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Air Plus Heating and Cooling,http://www.airplusheatingcooling.com/,support@airplusheatingcooling.com,1,+1 740-625-7587,75,,Ohio Google Batch 2,owner,Tier 3 (Operational),observed,From Former,website_direct
General Heating and Air Conditioning,,,,+1 614-696-2648,75,,Ohio Google Batch 2,,,,,
Ross Heating & Cooling,,,,+1 740-362-7677,75,,Ohio Google Batch 2,,,,,
All year heating & cooling,,,,+1 614-706-3106,75,,Ohio Google Batch 2,,,,,
Complete Air Systems Heating & Cooling LLC,http://completeairsystemsoh.com/,admin@completeairsystemsoh.com,3,+1 740-345-2021,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Essential Air Care LLC.,,,,+1 614-984-7172,75,,Ohio Google Batch 2,,,,,
Lowe's Air Duct Cleaning,https://lowesair.com/ohio/columbus/?utm_source=google&utm_medium=organic&utm_campaign=gmb-columbus-oh,admin@lowesair.com,1,+1 614-300-3008,75,,Ohio Google Batch 2,owner,Tier 3 (Operational),observed,Our Team,website_direct
Foxcroft HVAC & Refrigeration,,,,,75,,Ohio Google Batch 2,,,,,
Reliable HVAC Services,http://www.reliablehvacsc.com/,sales@reliablehvacsc.com,3,+1 864-315-3100,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Gahanna Furnace & Air Conditioning,https://www.gahannaair.com/,inbound@gahannaair.com,1,+1 614-379-3602,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker),observed,,
Kozik Plumbing Heating & Cooling,http://kozikplumbingheating.com/,office@kozikplumbingheating.com,3,+1 419-468-3328,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
MB Mechanical Ohio,https://mb-columbus.com/contact/,sales@mb-columbus.com,3,+1 614-928-3532,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
1st Class Air Conditioning Services,,,,,75,,Ohio Google Batch 2,,,,,
Savings HVAC,https://savingshvac.com/contact-us/,dave@savingshvac.com,1,+1 513-728-4647,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker),observed,,
Better Service LLC,https://betterservicellc.com/,info@betterservicellc.com,3,+1 614-784-3133,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Affinity Heating & Cooling Solutions LLC,,,,+1 419-569-7155,75,,Ohio Google Batch 2,,,,,
Hero Heating Cooling & Home Repairs,,,,+1 614-441-8693,75,,Ohio Google Batch 2,,,,,
Maher Shamrukh Heating and Cooling,,,,+1 614-721-8359,75,,Ohio Google Batch 2,,,,,
Five Star Cooling,https://www.columbusacrepair.com/,support@columbusacrepair.com,3,+1 614-310-4998,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
S & L Heating / Cooling,,,,+1 740-251-7845,75,,Ohio Google Batch 2,,,,,
Hero Heating Cooling & Home Repairs Co,https://hero-heating-cooling-home-repairs.square.site/,admin@hero-heating-cooling-home-repairs.square.site,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Salmons Heating & Cooling,,,,+1 614-329-9067,75,,Ohio Google Batch 2,,,,,
Fillmore HVAC & Refrigeration,,,,,75,,Ohio Google Batch 2,,,,,
"Heights A/C & Heating, LLC.",http://www.heightsacandheating.com/,service@heightsacandheating.com,1,+1 832-729-0017,75,,Ohio Google Batch 2,owner,Tier 3 (Operational),observed,The Team,website_direct
Ace Welding & Mechanical LLC and Crane Services,,,,,75,,Ohio Google Batch 2,,,,,
C W Payne Services Co Inc,,,,+1 740-397-6110,75,,Ohio Google Batch 2,,,,,
F5 Facility Services Ohio,https://f5svcs.com/,jiml@f5svcs.com,1,+1 412-921-5555,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker),observed,,
Delta T Mechanical,https://deltatmechanical.com/,support@deltatmechanical.com,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Rickett Industrial Environmental Systems,http://rickettindustrial.com/,hello@rickettindustrial.com,3,+1 419-747-7721,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
HVAC in Harmony,https://hvacinharmony.com/,info@hvacinharmony.com,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
614 HVAC services,https://preview--columbus-hvac-copywriter.lovable.app/,office@preview--columbus-hvac-copywriter.lovable.app,3,,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Bart Fey HVAC LLC,https://bartfeyhvacoh.com/,sales@bartfeyhvacoh.com,3,+1 614-641-5920,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Best Air Conditioning & Heating,https://www.bestairsatx.com/,john@bestairsatx.com,1,+1 210-494-2255,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker),observed,,
Johns Custom Remodeling,https://johnscustomremodelingllc.com/,info@johnscustomremodelingllc.com,3,+1 614-743-6515,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Central Ohio Construction Group,http://www.cocginc.com/,joshua@cocginc.com,1,+1 513-827-1273,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker),observed,,
Liberty Industrial Services,http://libertyindustrial.org/,ben@libertyindustrial.org,1,+1 740-501-5451,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker),observed,,
Handyman Hart,https://www.handymanhart.com/,tyler@handymanhart.com,1,,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker),observed,,
Koala Insulation of Central Ohio,https://koalainsulation.com/central-ohio?utm_source=extnet&utm_medium=yext,contact@koalainsulation.com,3,+1 614-696-6458,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Mr Fix It LLC,https://www.mrfixllcdublin.com/,support@mrfixllcdublin.com,3,+1 614-596-8396,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
Mid-Ohio Ductless,http://midohioductless.com/,office@midohioductless.com,3,+1 740-392-5660,75,,Ohio Google Batch 2,operational,Tier 3 (Operational),observed,,
